tagID,datetime,event
2364,2019-08-07 12:19:41.900,entering-exiting
2962,2019-08-07 12:20:06.700,exiting-entering
2515,2019-08-07 12:19:50.200,entering
2624,2019-08-07 12:20:03.650,exiting
2962,2019-08-07 12:20:23.450,exiting-entering
2364,2019-08-07 12:20:38.350,entering
2364,2019-08-07 12:21:21.550,exiting-entering
144,2019-08-07 12:21:45.600,exiting-entering
2364,2019-08-07 12:21:55.750,exiting
2696,2019-08-07 12:23:22.550,exiting-entering
2364,2019-08-07 12:23:33.100,entering-exiting
2358,2019-08-07 12:23:57.700,exiting
2778,2019-08-07 12:24:15.700,entering
629,2019-08-07 12:24:37.050,entering
399,2019-08-07 12:25:15.250,exiting
221,2019-08-07 12:26:08.100,entering
2997,2019-08-07 12:26:16.800,entering
2624,2019-08-07 12:27:12.500,entering-exiting
269,2019-08-07 12:27:16.600,entering
799,2019-08-07 12:28:48.900,exiting
2364,2019-08-07 12:31:46.000,exiting-entering
799,2019-08-07 12:35:02.150,entering
668,2019-08-07 12:36:50.250,exiting
2543,2019-08-07 12:37:47.100,exiting
2364,2019-08-07 12:37:52.400,exiting
2364,2019-08-07 12:38:42.700,entering
2364,2019-08-07 12:39:05.350,exiting
2364,2019-08-07 12:39:31.500,entering-exiting
2696,2019-08-07 12:40:05.000,exiting-entering
2364,2019-08-07 12:41:21.150,entering
2364,2019-08-07 12:43:50.200,exiting
2594,2019-08-07 12:43:54.200,exiting-entering
821,2019-08-07 12:44:39.000,exiting-entering
2364,2019-08-07 12:44:31.600,exiting-entering
2624,2019-08-07 12:46:31.200,exiting
2962,2019-08-07 12:47:57.600,exiting-entering
2364,2019-08-07 12:48:22.200,entering
2364,2019-08-07 12:54:10.700,entering
2364,2019-08-07 12:57:32.000,exiting
2364,2019-08-07 12:57:56.200,entering
2515,2019-08-07 13:00:44.850,exiting
1268,2019-08-07 13:03:16.200,entering
2364,2019-08-07 13:03:22.050,entering-exiting
2364,2019-08-07 13:03:40.900,exiting-entering
2364,2019-08-07 13:04:04.200,exiting
397,2019-08-07 13:04:13.950,exiting
2364,2019-08-07 13:04:13.800,entering
2364,2019-08-07 13:04:35.600,exiting
420,2019-08-07 13:05:15.550,exiting
2364,2019-08-07 13:05:53.150,entering-exiting
2364,2019-08-07 13:06:44.100,entering
2364,2019-08-07 13:07:21.200,exiting
2140,2019-08-07 13:07:17.750,exiting
2364,2019-08-07 13:07:30.400,entering-exiting
2364,2019-08-07 13:08:11.050,entering-exiting
187,2019-08-07 13:08:22.500,exiting
2364,2019-08-07 13:09:02.650,entering-exiting
2838,2019-08-07 13:09:02.550,exiting
2364,2019-08-07 13:10:51.700,entering
2364,2019-08-07 13:11:21.300,exiting
187,2019-08-07 13:11:35.250,exiting-entering
2696,2019-08-07 13:11:48.700,exiting-entering
2364,2019-08-07 13:11:54.650,entering
2364,2019-08-07 13:12:12.500,exiting
2364,2019-08-07 13:12:24.300,entering
2364,2019-08-07 13:16:14.250,entering
2364,2019-08-07 13:16:28.450,exiting
2364,2019-08-07 13:16:40.750,entering-exiting
2364,2019-08-07 13:18:08.350,exiting
2364,2019-08-07 13:18:52.750,exiting
2364,2019-08-07 13:19:13.100,entering-exiting
2364,2019-08-07 13:20:02.950,entering-exiting
2364,2019-08-07 13:20:15.650,entering
2364,2019-08-07 13:20:25.250,exiting
2364,2019-08-07 13:20:59.300,entering-exiting
2364,2019-08-07 13:21:33.400,entering-exiting
2364,2019-08-07 13:21:52.750,entering-exiting
2364,2019-08-07 13:22:20.300,entering-exiting
2364,2019-08-07 13:22:32.450,entering
2364,2019-08-07 13:22:41.150,exiting
2364,2019-08-07 13:23:03.000,entering
2364,2019-08-07 13:23:47.700,exiting
2364,2019-08-07 13:24:15.150,entering
2364,2019-08-07 13:24:32.600,exiting
586,2019-08-07 13:27:34.200,exiting
2428,2019-08-07 13:28:17.700,entering
187,2019-08-07 13:32:07.350,exiting-entering
2428,2019-08-07 13:32:19.050,exiting
2364,2019-08-07 13:32:33.850,entering
2364,2019-08-07 13:33:14.100,exiting
187,2019-08-07 13:34:50.350,exiting
572,2019-08-07 13:35:43.350,exiting-entering
2364,2019-08-07 13:36:17.350,entering
2364,2019-08-07 13:36:40.200,exiting
2364,2019-08-07 13:37:40.850,entering
2364,2019-08-07 13:37:52.150,exiting
2364,2019-08-07 13:38:52.900,entering
2364,2019-08-07 13:39:08.250,exiting
811,2019-08-07 13:39:20.850,exiting
2364,2019-08-07 13:40:33.600,entering
2364,2019-08-07 13:41:53.450,exiting
2364,2019-08-07 13:43:18.550,entering-exiting
753,2019-08-07 13:43:32.350,exiting-entering
2364,2019-08-07 13:43:56.800,entering-exiting
2364,2019-08-07 13:44:36.850,entering-exiting
2364,2019-08-07 13:45:23.700,entering-exiting
693,2019-08-07 13:45:51.300,exiting
2827,2019-08-07 13:45:43.650,exiting-entering
2364,2019-08-07 13:45:51.000,entering-exiting
693,2019-08-07 13:46:22.750,entering
693,2019-08-07 13:46:48.950,exiting-entering
693,2019-08-07 13:47:30.950,exiting-entering
693,2019-08-07 13:49:31.400,exiting-entering
2364,2019-08-07 13:49:59.450,entering
693,2019-08-07 13:50:19.350,exiting-entering
693,2019-08-07 13:51:02.500,exiting-entering
2515,2019-08-07 13:51:15.550,entering
693,2019-08-07 13:52:53.350,exiting-entering
572,2019-08-07 13:54:49.300,exiting-entering
572,2019-08-07 13:55:25.100,exiting-entering
572,2019-08-07 13:55:53.350,exiting-entering
823,2019-08-07 13:57:13.100,exiting
793,2019-08-07 13:57:26.350,exiting-entering
793,2019-08-07 13:58:05.300,exiting-entering
793,2019-08-07 13:59:01.300,exiting-entering
2674,2019-08-07 13:59:45.800,exiting
793,2019-08-07 13:59:57.100,exiting
381,2019-08-07 14:00:09.400,entering
793,2019-08-07 14:00:14.200,entering
266,2019-08-07 14:01:30.050,exiting
2364,2019-08-07 14:07:23.600,exiting
845,2019-08-07 14:07:23.550,exiting
2364,2019-08-07 14:08:19.300,entering-exiting
793,2019-08-07 14:08:11.850,exiting
2364,2019-08-07 14:10:10.600,entering-exiting
793,2019-08-07 14:09:35.200,entering
2364,2019-08-07 14:11:39.550,exiting
2364,2019-08-07 14:12:24.450,entering-exiting
2364,2019-08-07 14:12:38.950,entering-exiting
799,2019-08-07 14:12:47.750,exiting
2364,2019-08-07 14:13:00.450,entering-exiting
2364,2019-08-07 14:13:21.200,entering-exiting
2364,2019-08-07 14:13:59.700,entering-exiting
2364,2019-08-07 14:15:52.350,entering
2364,2019-08-07 14:16:17.750,exiting
586,2019-08-07 14:16:17.150,exiting
609,2019-08-07 14:16:40.450,exiting
420,2019-08-07 14:16:44.350,entering
2364,2019-08-07 14:18:25.150,entering-exiting
1412,2019-08-07 14:19:46.650,exiting
2364,2019-08-07 14:20:33.600,entering-exiting
2364,2019-08-07 14:21:00.650,entering-exiting
793,2019-08-07 14:21:28.450,exiting
793,2019-08-07 14:22:15.900,entering-exiting
266,2019-08-07 14:24:01.700,entering
2662,2019-08-07 14:24:05.500,entering
350,2019-08-07 14:25:43.000,exiting
2289,2019-08-07 14:28:02.450,entering
730,2019-08-07 14:28:28.600,exiting
2364,2019-08-07 14:30:01.850,exiting
2662,2019-08-07 14:30:14.200,exiting
683,2019-08-07 14:30:28.050,exiting
527,2019-08-07 14:30:35.000,exiting
2724,2019-08-07 14:31:27.450,entering
266,2019-08-07 14:31:35.600,exiting
220,2019-08-07 14:31:42.450,exiting
2356,2019-08-07 14:31:44.800,exiting
2364,2019-08-07 14:32:08.250,entering-exiting
891,2019-08-07 14:32:04.950,exiting
259,2019-08-07 14:32:12.850,exiting
2364,2019-08-07 14:32:27.100,entering-exiting
384,2019-08-07 14:32:41.650,exiting
2364,2019-08-07 14:33:02.200,entering-exiting
709,2019-08-07 14:33:55.800,exiting-entering
2673,2019-08-07 14:34:09.000,exiting
2364,2019-08-07 14:35:30.150,entering
474,2019-08-07 14:35:24.600,exiting
2364,2019-08-07 14:35:44.600,exiting
2724,2019-08-07 14:35:54.850,exiting
474,2019-08-07 14:36:37.250,entering
2364,2019-08-07 14:37:47.000,entering-exiting
2712,2019-08-07 14:38:04.550,exiting
2140,2019-08-07 14:39:31.850,exiting
